InflationPressure,BeltAngle,CrossSection,EPI,C10,MatName_C10
43.75,23,0.000361559,20,47.94,B1046
43.75,23,0.000361559,18,43.58,B2286
43.75,23,0.000361559,18,39.22,B1216
43.75,23,0.000361559,18,47.94,B1046
43.75,23,0.000361559,22,43.58,B2286
43.75,23,0.000361559,22,39.22,B1216
43.75,23,0.000361559,22,47.94,B1046
43.75,28,0.00032869,20,43.58,B2286
43.75,28,0.00032869,20,39.22,B1216
43.75,28,0.00032869,20,47.94,B1046
43.75,28,0.00032869,18,43.58,B2286
43.75,28,0.00032869,18,39.22,B1216
43.75,28,0.00032869,18,47.94,B1046
43.75,28,0.00032869,22,43.58,B2286
43.75,28,0.00032869,22,39.22,B1216
43.75,28,0.00032869,22,47.94,B1046
43.75,28,0.000295821,20,43.58,B2286
43.75,28,0.000295821,20,39.22,B1216
43.75,28,0.000295821,20,47.94,B1046
43.75,28,0.000295821,18,43.58,B2286
43.75,28,0.000295821,18,39.22,B1216
43.75,28,0.000295821,18,47.94,B1046
43.75,28,0.000295821,22,43.58,B2286
43.75,28,0.000295821,22,39.22,B1216
43.75,28,0.000295821,22,47.94,B1046
43.75,28,0.000361559,20,43.58,B2286
43.75,28,0.000361559,20,39.22,B1216
43.75,28,0.000361559,20,47.94,B1046
43.75,28,0.000361559,18,43.58,B2286
43.75,28,0.000361559,18,39.22,B1216
43.75,28,0.000361559,18,47.94,B1046
43.75,28,0.000361559,22,43.58,B2286
43.75,28,0.000361559,22,39.22,B1216
43.75,28,0.000361559,22,47.94,B1046
